,country,variety,price,points
358,Germany,Riesling,66.0,95
359,France,Chardonnay,110.0,95
361,Italy,Nebbiolo,60.0,95
362,US,Cabernet Sauvignon,200.0,95
363,France,Chardonnay,380.0,95
364,US,Pinot Noir,48.0,95
365,Australia,Shiraz,60.0,95
367,Chile,Carmenère,10.0,88
369,Italy,Chardonnay,21.0,88
370,US,Cabernet Sauvignon,160.0,88
371,Italy,Sauvignon Blanc,23.0,88
372,Italy,White Blend,10.0,88
373,Italy,Sauvignon Blanc,15.0,88
374,US,Sauvignon Blanc,19.0,88
375,Italy,Sangiovese,40.0,88
376,Italy,Pinot Grigio,18.0,88
379,Italy,White Blend,15.0,88
380,Chile,Merlot,12.0,88
381,Italy,White Blend,11.0,88
382,Chile,Cabernet Sauvignon,15.0,88
383,Italy,Chardonnay,9.0,88
384,Italy,Gewürztraminer,30.0,88
385,US,Sauvignon Blanc,18.0,88
386,US,Merlot,34.0,88
387,US,Sauvignon Blanc,17.0,88
388,US,Pinot Noir,25.0,88
389,Italy,White Blend,15.0,88
390,Chile,Cabernet Sauvignon,12.0,88
391,Chile,Chardonnay,14.0,88
392,US,Sauvignon Blanc,12.0,87
393,Chile,Chardonnay,11.0,87
394,Chile,Merlot,12.0,87
396,US,Zinfandel,16.0,85
397,Chile,Pinot Noir,15.0,85
398,Chile,Sauvignon Blanc,13.0,85
402,Chile,Syrah,11.0,85
403,US,Red Blend,15.0,85
404,US,Syrah,45.0,85
406,France,Champagne Blend,30.0,85
407,Chile,Chardonnay,14.0,85
409,US,Gewürztraminer,20.0,85
410,US,Cabernet Franc,20.0,85
411,US,Cabernet Sauvignon,12.0,85
415,US,Riesling,14.0,85
419,France,Bordeaux-style Red Blend,20.0,89
421,US,Merlot,30.0,89
423,Austria,Grüner Veltliner,23.0,89
424,US,White Blend,30.0,89
425,US,Rosé,18.0,89
426,Spain,Tempranillo,18.0,89
427,US,Sparkling Blend,35.0,89
428,Austria,Grüner Veltliner,17.0,89
429,US,Syrah,42.0,89
430,US,Sauvignon Blanc,30.0,89
431,US,Tempranillo,24.0,89
432,US,Riesling,16.0,89
434,Italy,Nebbiolo,89.0,89
437,US,Bordeaux-style Red Blend,54.0,89
440,US,Cabernet Sauvignon,38.0,89
442,US,Cabernet Franc,35.0,89
443,US,Zinfandel,32.0,88
444,Austria,Grüner Veltliner,12.0,88
446,US,Cabernet Sauvignon,20.0,88
449,Italy,Chardonnay,39.0,92
451,Italy,Sangiovese,35.0,92
453,France,Champagne Blend,69.0,92
455,US,Chardonnay,40.0,92
456,US,Sparkling Blend,23.0,92
457,US,Pinot Noir,45.0,92
458,Italy,Sparkling Blend,50.0,92
459,France,Champagne Blend,100.0,92
460,US,Pinot Noir,50.0,92
462,France,Chardonnay,66.0,92
463,France,Champagne Blend,60.0,92
464,Germany,Riesling,115.0,92
465,Italy,Red Blend,69.0,92
467,US,Pinot Noir,65.0,92
468,Germany,Riesling,42.0,92
469,Germany,Riesling,27.0,92
470,France,Champagne Blend,70.0,92
471,France,Pinot Noir,73.0,92
472,France,Pinot Noir,72.0,92
473,Portugal,Portuguese Red,34.0,92
475,US,Cabernet Sauvignon,130.0,92
476,US,Red Blend,88.0,92
477,France,Bordeaux-style Red Blend,65.0,92
480,US,Bordeaux-style Red Blend,45.0,87
482,US,Pinot Noir,60.0,87
485,France,Rhône-style Red Blend,13.0,87
486,US,Cabernet Sauvignon,13.0,87
487,Italy,White Blend,15.0,87
488,Italy,Pinot Grigio,18.0,87
490,Spain,Sparkling Blend,19.0,87
491,Austria,Grüner Veltliner,18.0,87
492,US,Sangiovese,30.0,87
493,US,Red Blend,35.0,87
494,US,Chardonnay,12.0,87
495,US,Chardonnay,18.0,87
497,US,Cabernet Franc,30.0,87
498,US,Pinot Noir,17.0,87
499,France,Rosé,20.0,87
500,Spain,Rosé,11.0,87
503,US,Sauvignon Blanc,19.0,87
504,France,Rhône-style Red Blend,15.0,87
505,Spain,Tempranillo,16.0,87
506,Italy,White Blend,12.0,87
507,US,Syrah,28.0,87
508,US,Tempranillo,28.0,87
509,US,Red Blend,65.0,91
510,US,Chardonnay,48.0,91
511,France,Champagne Blend,70.0,91
512,France,Champagne Blend,59.0,91
513,US,Cabernet Sauvignon,90.0,91
514,Chile,Merlot,35.0,91
515,US,Pinot Noir,75.0,91
516,US,Pinot Noir,55.0,91
517,US,Pinot Noir,55.0,91
518,France,Pinot Noir,60.0,91
519,US,Grenache,36.0,91
521,US,Grenache,35.0,91
522,US,Pinot Noir,55.0,91
523,US,Pinot Noir,65.0,91
524,US,Syrah,35.0,91
525,US,Chardonnay,49.0,91
526,US,Pinot Noir,55.0,91
528,France,Champagne Blend,42.0,91
529,US,Pinot Noir,45.0,91
530,Chile,Syrah,24.0,91
531,US,Sparkling Blend,50.0,91
532,US,Pinot Noir,50.0,91
533,US,Pinot Noir,50.0,91
534,US,Cabernet Sauvignon,38.0,91
535,Germany,Riesling,22.0,91
536,US,Bordeaux-style Red Blend,50.0,91
537,US,Cabernet Sauvignon,110.0,91
538,US,Pinot Noir,45.0,91
539,US,Pinot Noir,42.0,93
540,US,Pinot Noir,60.0,93
541,US,Pinot Noir,42.0,93
543,US,Cabernet Sauvignon,75.0,93
544,US,Red Blend,54.0,93
545,US,Cabernet Sauvignon,85.0,93
546,US,Chardonnay,50.0,93
547,US,Sangiovese,150.0,93
548,US,Pinot Noir,85.0,93
549,Italy,Nebbiolo,90.0,93
550,US,Chardonnay,35.0,93
551,US,Zinfandel,46.0,93
552,France,Rosé,20.0,93
553,Argentina,Malbec,42.0,93
554,France,Rosé,40.0,93
555,US,Cabernet Sauvignon,75.0,93
556,Spain,Tempranillo,88.0,93
557,US,Pinot Noir,40.0,93
558,US,White Blend,25.0,93
560,US,Syrah,45.0,93
561,US,Pinot Noir,50.0,93
562,US,Petite Sirah,65.0,93
563,US,Pinot Noir,48.0,93
564,US,Syrah,62.0,93
565,US,Red Blend,100.0,93
566,US,Cabernet Sauvignon,53.0,93
567,Argentina,Malbec,55.0,93
568,US,Cabernet Sauvignon,70.0,93
569,US,Chardonnay,38.0,89
570,US,Syrah,50.0,89
573,France,Bordeaux-style Red Blend,14.0,89
574,France,Rosé,11.0,89
575,France,Bordeaux-style Red Blend,14.0,89
576,France,Bordeaux-style Red Blend,37.0,89
577,US,Rosé,17.0,89
578,France,Bordeaux-style Red Blend,15.0,89
579,US,Rosé,13.0,89
580,US,White Blend,18.0,89
581,US,Gewürztraminer,26.0,89
582,US,Merlot,18.0,89
583,US,Pinot Noir,32.0,89
584,Austria,Grüner Veltliner,18.0,89
585,US,Chardonnay,25.0,89
587,Austria,Sauvignon Blanc,20.0,89
588,US,Chardonnay,18.0,89
590,US,Chardonnay,17.0,89
591,Austria,Grüner Veltliner,13.0,89
592,US,Malbec,41.0,89
593,Austria,Riesling,16.0,89
594,France,Rhône-style Red Blend,20.0,89
595,US,Cabernet Sauvignon,30.0,89
597,Austria,Riesling,24.0,89
598,US,Sangiovese,36.0,89
599,US,Cabernet Sauvignon,20.0,87
602,US,Cabernet Sauvignon,69.0,87
603,US,Cabernet Franc,36.0,87
604,Spain,Red Blend,35.0,87
605,Argentina,Red Blend,30.0,87
606,US,Grenache,25.0,87
607,US,Viognier,25.0,87
608,Portugal,Portuguese White,15.0,87
609,US,Grüner Veltliner,20.0,87
610,US,Sauvignon Blanc,17.0,87
611,US,Pinot Noir,54.0,87
613,Portugal,Portuguese White,12.0,87
615,Argentina,Malbec,11.0,87
616,US,Chardonnay,45.0,87
617,Italy,Glera,25.0,87
618,US,Merlot,35.0,87
619,Italy,Chardonnay,16.0,87
620,Italy,Glera,20.0,87
621,US,Pinot Noir,28.0,87
622,US,Red Blend,25.0,87
623,US,Red Blend,28.0,87
624,US,Red Blend,20.0,87
627,Italy,White Blend,19.0,87
628,Australia,Shiraz,35.0,92
629,US,Pinot Noir,75.0,92
630,US,Pinot Noir,48.0,92
631,France,Gewürztraminer,54.0,92
632,France,Riesling,34.0,92
633,Australia,Viognier,60.0,92
634,US,Zinfandel,48.0,92
636,Australia,Shiraz,125.0,92
638,France,Riesling,36.0,92
639,France,Pinot Gris,30.0,92
640,US,Chardonnay,37.0,92
641,US,Pinot Gris,25.0,92
642,Portugal,Portuguese Red,30.0,92
643,US,Chardonnay,60.0,92
644,US,Cabernet Sauvignon,40.0,92
645,US,Pinot Noir,50.0,92
646,Portugal,Portuguese Red,23.0,92
647,Portugal,Portuguese Red,80.0,92
648,Germany,Riesling,34.0,92
649,US,Cabernet Sauvignon,75.0,92
651,France,Riesling,39.0,92
652,Australia,Riesling,21.0,92
653,US,Grenache,35.0,92
654,France,Riesling,43.0,92
655,US,Zinfandel,30.0,92
656,US,Pinot Noir,70.0,92
657,South Africa,Rhône-style Red Blend,50.0,92
658,US,Chardonnay,40.0,90
659,US,Cabernet Sauvignon,45.0,90
660,US,Cabernet Sauvignon,80.0,90
661,US,Pinot Grigio,15.0,90
662,Italy,Nebbiolo,65.0,90
663,US,Cabernet Sauvignon,65.0,90
665,Italy,Barbera,25.0,90
666,US,Riesling,20.0,90
668,US,Riesling,26.0,90
669,US,Malbec,30.0,90
670,US,Cabernet Sauvignon,13.0,90
671,US,Petite Sirah,45.0,90
672,US,Riesling,26.0,90
673,US,Pinot Noir,44.0,90
674,US,Cabernet Sauvignon,38.0,90
675,US,Pinot Noir,28.0,90
676,US,Chardonnay,32.0,90
677,Italy,Syrah,50.0,90
678,Italy,Syrah,35.0,90
679,US,Cabernet Sauvignon,35.0,90
680,Spain,Tempranillo Blend,25.0,90
681,US,Syrah,42.0,90
683,Italy,Red Blend,70.0,90
684,US,Cabernet Sauvignon,30.0,90
685,US,Pinot Noir,75.0,90
686,Italy,Nebbiolo,53.0,90
687,US,Chardonnay,29.0,90
688,US,Cabernet Sauvignon,90.0,91
689,US,Red Blend,35.0,91
690,Austria,Red Blend,35.0,91
691,US,Malbec,50.0,91
692,Italy,Red Blend,35.0,91
693,US,Cabernet Franc,65.0,91
694,South Africa,Sauvignon Blanc,50.0,91
695,Italy,Red Blend,43.0,91
696,New Zealand,Sauvignon Blanc,28.0,91
698,US,Bordeaux-style Red Blend,20.0,91
701,France,Rosé,65.0,91
702,France,Rosé,17.0,91
704,France,Rosé,20.0,91
705,New Zealand,Sauvignon Blanc,28.0,91
706,France,Rosé,20.0,91
707,France,Rosé,20.0,91
708,France,Rosé,25.0,91
709,US,Zinfandel,38.0,91
710,New Zealand,Pinot Noir,120.0,91
711,US,Sauvignon Blanc,23.0,91
712,US,Pinot Noir,48.0,91
713,US,Pinot Noir,32.0,91
714,New Zealand,Pinot Noir,50.0,91
715,Argentina,Red Blend,28.0,91
716,New Zealand,Pinot Noir,30.0,91
717,France,Rosé,25.0,91
718,Portugal,Portuguese White,8.0,85
719,France,Chardonnay,15.0,85
720,Portugal,Rosé,22.0,85
721,Argentina,Cabernet Sauvignon,14.0,85
723,Portugal,Portuguese White,8.0,85
724,US,Viognier,14.0,85
725,Italy,Nebbiolo,80.0,85
726,Portugal,Rosé,9.0,85
727,US,Pinot Noir,13.0,85
729,Portugal,Portuguese White,10.0,85
730,US,Cabernet Sauvignon,16.0,85
731,France,Chardonnay,10.0,85
732,France,Pinot Noir,22.0,85
733,France,Pinot Noir,40.0,85
736,US,Tempranillo,32.0,85
737,Portugal,Rosé,12.0,85
738,Argentina,Malbec,17.0,85
739,Italy,Nebbiolo,102.0,85
742,France,Chardonnay,20.0,85
743,US,Zinfandel,33.0,85
744,Italy,Nebbiolo,48.0,85
746,Australia,Pinot Grigio,9.0,85
747,US,Pinot Noir,24.0,87
748,US,Cabernet Franc,75.0,87
749,France,Riesling,12.0,87
750,US,Pinot Noir,45.0,87
751,Chile,Sauvignon Blanc,13.0,87
753,US,Chardonnay,22.0,87
755,US,Gewürztraminer,18.0,87
756,US,Zinfandel,35.0,87
757,US,Pinot Noir,36.0,87
758,US,Pinot Noir,34.0,87
759,US,Syrah,70.0,87
760,US,Syrah,28.0,87
764,US,Syrah,45.0,87
765,US,Red Blend,32.0,87
766,Australia,Pinot Noir,18.0,87
767,Spain,Tempranillo,9.0,87
768,Australia,Cabernet Sauvignon,11.0,87
770,France,Chardonnay,62.0,92
771,US,Sparkling Blend,40.0,92
772,France,Chardonnay,66.0,92
773,Portugal,Portuguese Red,32.0,92
774,US,Pinot Noir,70.0,92
775,US,Pinot Noir,48.0,92
776,France,Chardonnay,72.0,92
778,US,Pinot Noir,105.0,92
779,France,Champagne Blend,101.0,92
780,Italy,White Blend,50.0,92
781,Italy,Chardonnay,85.0,92
782,US,Sparkling Blend,35.0,92
783,US,Zinfandel,38.0,92
784,Portugal,Portuguese Red,32.0,90
785,Argentina,Red Blend,25.0,90
786,Portugal,Portuguese Red,12.0,90
787,US,Cabernet Sauvignon,125.0,90
788,Argentina,Chardonnay,46.0,90
789,Germany,Riesling,29.0,90
790,US,Cabernet Sauvignon,17.0,90
791,US,Pinot Noir,85.0,90
792,France,Bordeaux-style Red Blend,30.0,90
793,US,Red Blend,34.0,90
795,France,Bordeaux-style Red Blend,35.0,90
796,France,Bordeaux-style Red Blend,45.0,90
797,France,Bordeaux-style Red Blend,20.0,90
798,France,Bordeaux-style Red Blend,17.0,90
799,France,Bordeaux-style Red Blend,45.0,90
800,US,Cabernet Sauvignon,20.0,90
801,US,Syrah,50.0,90
802,France,Gamay,22.0,90
803,US,Merlot,39.0,90
804,US,Chardonnay,35.0,90
805,US,Riesling,15.0,90
806,US,Chardonnay,27.0,90
807,Australia,Chardonnay,66.0,90
809,Spain,Tempranillo,20.0,90
810,US,Cabernet Sauvignon,125.0,90
812,US,Syrah,42.0,90
813,Australia,Red Blend,22.0,90
815,US,Sauvignon Blanc,18.0,86
816,US,Gewürztraminer,22.0,86
817,Chile,Merlot,12.0,86
818,France,Gamay,15.0,86
820,Spain,Tempranillo Blend,12.0,86
821,Spain,Sparkling Blend,15.0,86
822,Italy,Sangiovese,20.0,86
823,US,Malbec,28.0,86
824,US,Merlot,10.0,86
825,Italy,Sangiovese,70.0,86
826,Italy,Sangiovese,28.0,86
827,Chile,Merlot,11.0,86
829,US,Viognier,26.0,86
830,France,Chardonnay,15.0,86
831,France,Gamay,23.0,86
833,Italy,Nebbiolo,30.0,86
834,Chile,Cabernet Sauvignon,10.0,86
835,France,Gamay,12.0,86
836,Spain,Sparkling Blend,13.0,86
837,Spain,Sparkling Blend,15.0,86
838,US,Syrah,36.0,86
839,US,Riesling,20.0,86
841,US,Chardonnay,10.0,86
842,France,Gamay,16.0,86
843,US,Cabernet Franc,25.0,86
847,France,Pinot Noir,33.0,90
849,France,Pinot Noir,70.0,90
850,France,Chardonnay,117.0,90
853,Germany,Riesling,30.0,90
854,US,Zinfandel,20.0,90
855,US,Chardonnay,35.0,90
857,US,Syrah,28.0,90
858,US,Pinot Gris,15.0,90
859,US,Cabernet Sauvignon,150.0,90
860,US,Cabernet Franc,45.0,90
863,US,Pinot Noir,45.0,90
866,Australia,Rosé,25.0,90
867,US,Pinot Noir,40.0,90
868,Chile,Carmenère,15.0,90
869,US,Grenache,42.0,90
870,US,Syrah,29.0,90
871,US,Merlot,42.0,90
876,Spain,Red Blend,50.0,90
878,France,Bordeaux-style Red Blend,35.0,90
879,France,Bordeaux-style Red Blend,45.0,90
880,US,Syrah,20.0,90
881,Spain,Red Blend,44.0,90
882,US,Cabernet Sauvignon,22.0,90
884,US,Sparkling Blend,28.0,90
885,US,Petite Sirah,27.0,90
886,France,Rhône-style Red Blend,25.0,90
887,Portugal,Portuguese White,60.0,90
888,US,Cabernet Franc,72.0,90
889,US,Pinot Noir,44.0,90
890,US,Viognier,28.0,90
891,US,Pinot Noir,29.0,90
892,US,Bordeaux-style Red Blend,58.0,90
893,Australia,Shiraz,15.0,90
894,Italy,Sangiovese,29.0,90
895,Italy,Red Blend,45.0,90
896,US,Syrah,70.0,90
897,US,Syrah,39.0,90
899,Italy,Sangiovese,28.0,90
900,Spain,Red Blend,48.0,90
901,Portugal,Portuguese White,50.0,90
903,Germany,Riesling,10.0,87
904,Italy,Nebbiolo,50.0,87
908,Italy,Nebbiolo,39.0,87
909,Italy,Nebbiolo,35.0,87
910,Argentina,Bordeaux-style Red Blend,30.0,87
912,US,Rosé,18.0,87
914,Argentina,Malbec,20.0,87
915,US,Pinot Noir,25.0,87
916,US,Pinot Gris,20.0,87
917,Italy,Nebbiolo,50.0,87
918,Italy,Nebbiolo,50.0,87
919,Argentina,Pinot Gris,15.0,87
921,Portugal,Portuguese White,9.0,87
922,Argentina,Sauvignon Blanc,12.0,87
924,Australia,Sauvignon Blanc,18.0,87
926,Argentina,Malbec,175.0,87
928,Italy,Nebbiolo,60.0,87
929,US,Zinfandel,20.0,87
930,Argentina,Malbec,15.0,87
931,Italy,Nebbiolo,35.0,87
932,France,Bordeaux-style Red Blend,14.0,87
933,France,Bordeaux-style Red Blend,16.0,87
934,France,Bordeaux-style Red Blend,15.0,87
935,France,Bordeaux-style Red Blend,14.0,87
936,US,Chardonnay,40.0,87
938,Spain,Tempranillo,15.0,87
939,US,Bordeaux-style Red Blend,55.0,87
940,France,Champagne Blend,38.0,87
942,US,Pinot Noir,34.0,87
943,Spain,Tempranillo Blend,18.0,87
944,US,Viognier,27.0,87
945,US,Chardonnay,17.0,87
946,US,Sangiovese,65.0,87
947,Portugal,Portuguese Red,13.0,87
948,Portugal,Portuguese Red,15.0,87
949,Italy,Nebbiolo,23.0,87
950,US,Chardonnay,40.0,87
953,US,Pinot Noir,38.0,87
954,US,Cabernet Sauvignon,15.0,87
955,Italy,Nebbiolo,50.0,87
957,US,Sauvignon Blanc,24.0,87
958,Spain,Rosé,18.0,87
959,France,Champagne Blend,40.0,87
960,France,Bordeaux-style Red Blend,18.0,87
961,France,Bordeaux-style Red Blend,20.0,87
962,France,Champagne Blend,40.0,85
963,France,Bordeaux-style Red Blend,11.0,85
966,New Zealand,Sauvignon Blanc,9.0,85
967,Chile,Chardonnay,10.0,85
969,Chile,Carmenère,9.0,85
